query,brand,attributes,product_type,tokens,bioes_tags,augmented_query,brand_added
rich plum cake,Plum,['rich'],cake,"['rich', 'plum', 'cake']","['S-Attribute', 'S-Brand', 'S-ProductType']",rich plum cake,False
catch pav bhaji masala,Catch,[],pav bhaji masala,"['catch', 'pav', 'bhaji', 'masala']","['S-Brand', 'B-ProductType', 'I-ProductType', 'E-ProductType']",catch pav bhaji masala,False
arata curl gel,Arata,[],curl gel,"['arata', 'curl', 'gel']","['S-Brand', 'B-ProductType', 'E-ProductType']",arata curl gel,False
jaitun ka tel,Telmikaa,['jaitun'],tel,"['jaitun', 'ka', 'tel', 'Telmikaa']","['S-Attribute', 'O', 'S-ProductType', 'S-Brand']",jaitun ka tel Telmikaa,True
blue ink pen,Bluone Ink,['blue'],ink pen,"['blue', 'ink', 'pen', 'Bluone', 'Ink']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",blue ink pen Bluone Ink,True
zepto cafe chai,Zepto Cafe,[],chai,"['zepto', 'cafe', 'chai']","['B-Brand', 'E-Brand', 'S-ProductType']",zepto cafe chai,False
premium playing cards,Premium,['premium'],playing cards,"['premium', 'playing', 'cards']","['S-Brand', 'B-ProductType', 'E-ProductType']",premium playing cards,False
body spray for men,Ocean Spray,['for men'],body spray,"['body', 'spray', 'for', 'men', 'Ocean', 'Spray']","['B-ProductType', 'E-ProductType', 'B-Attribute', 'E-Attribute', 'B-Brand', 'E-Brand']",body spray for men Ocean Spray,True
haldiram's kashmiri mixture,Haldiram's,['kashmiri'],mixture,"[""haldiram's"", 'kashmiri', 'mixture']","['S-Brand', 'S-Attribute', 'S-ProductType']",haldiram's kashmiri mixture,False
amul cold coffe,Amul,['cold'],coffe,"['amul', 'cold', 'coffe']","['S-Brand', 'S-Attribute', 'S-ProductType']",amul cold coffe,False
dhage wali mishri,Chokhi Dhani,['dhage wali'],mishri,"['dhage', 'wali', 'mishri', 'Chokhi', 'Dhani']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",dhage wali mishri Chokhi Dhani,True
moong dal snack,,['moong dal'],snack,"['moong', 'dal', 'snack']","['B-Attribute', 'E-Attribute', 'S-ProductType']",moong dal snack,False
ariel top load powder,Ariel,[],powder,"['ariel', 'top', 'load', 'powder']","['S-Brand', 'O', 'O', 'S-ProductType']",ariel top load powder,False
dnv kalai bori,Kalakaram,[],bori,"['dnv', 'kalai', 'bori', 'Kalakaram']","['O', 'O', 'S-ProductType', 'S-Brand']",dnv kalai bori Kalakaram,True
liv 52 ds,Liv. 52,[],,"['liv', '52', 'ds', 'Liv', '.', '52']","['O', 'O', 'O', 'B-Brand', 'I-Brand', 'E-Brand']",liv 52 ds Liv. 52,True
keya pizza masala,Keya,['pizza masala'],,"['keya', 'pizza', 'masala']","['S-Brand', 'B-Attribute', 'E-Attribute']",keya pizza masala,False
axe dark temptation,Axe,"['dark', 'temptation']",,"['axe', 'dark', 'temptation']","['S-Brand', 'S-Attribute', 'S-Attribute']",axe dark temptation,False
refined oil safola,Saffola,['refined'],oil,"['refined', 'oil', 'safola', 'Saffola']","['S-Attribute', 'S-ProductType', 'O', 'S-Brand']",refined oil safola Saffola,True
tomato sauce small,Haute Sauce,['small'],sauce,"['tomato', 'sauce', 'small', 'Haute', 'Sauce']","['O', 'S-ProductType', 'S-Attribute', 'B-Brand', 'E-Brand']",tomato sauce small Haute Sauce,True
sandals for men,,['for men'],sandals,"['sandals', 'for', 'men']","['S-ProductType', 'B-Attribute', 'E-Attribute']",sandals for men,False
ice cream 20,Hocco Ice Creams,['20'],ice cream,"['ice', 'cream', '20', 'Hocco', 'Ice', 'Creams']","['B-ProductType', 'E-ProductType', 'S-Attribute', 'B-Brand', 'I-Brand', 'E-Brand']",ice cream 20 Hocco Ice Creams,True
haldi chandan soap,Chandan,"['haldi', 'chandan']",soap,"['haldi', 'chandan', 'soap']","['S-Attribute', 'S-Brand', 'S-ProductType']",haldi chandan soap,False
amul fresh milk,Amul,['fresh'],milk,"['amul', 'fresh', 'milk']","['S-Brand', 'S-Attribute', 'S-ProductType']",amul fresh milk,False
thums up small,Thums Up,['small'],,"['thums', 'up', 'small']","['B-Brand', 'E-Brand', 'S-Attribute']",thums up small,False
oral-b soft toothbrush,Oral-B,['soft'],toothbrush,"['oral-b', 'soft', 'toothbrush']","['S-Brand', 'S-Attribute', 'S-ProductType']",oral-b soft toothbrush,False
winter cap for women,,"['winter', 'for women']",cap,"['winter', 'cap', 'for', 'women']","['S-Attribute', 'S-ProductType', 'B-Attribute', 'E-Attribute']",winter cap for women,False
loreal face serum,L'Oreal,[],face serum,"['loreal', 'face', 'serum', ""L'Oreal""]","['O', 'B-ProductType', 'E-ProductType', 'S-Brand']",loreal face serum L'Oreal,True
face wash for oily skin,,['for oily skin'],face wash,"['face', 'wash', 'for', 'oily', 'skin']","['B-ProductType', 'E-ProductType', 'B-Attribute', 'I-Attribute', 'E-Attribute']",face wash for oily skin,False
fortune atta 5kg,Fortune,['5kg'],atta,"['fortune', 'atta', '5kg']","['S-Brand', 'S-ProductType', 'S-Attribute']",fortune atta 5kg,False
cream bell tub,Cream Bell,[],tub,"['cream', 'bell', 'tub']","['B-Brand', 'E-Brand', 'S-ProductType']",cream bell tub,False
levi's slim jeans,levi's,['slim'],jeans,"[""levi's"", 'slim', 'jeans']","['S-Brand', 'S-Attribute', 'S-ProductType']",levi's slim jeans,False
spicy cup noodles,Peppy Pasta,['spicy'],cup noodles,"['spicy', 'cup', 'noodles', 'Peppy', 'Pasta']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",spicy cup noodles Peppy Pasta,True
the whole truth peanut,The Whole Truth,[],peanut,"['the', 'whole', 'truth', 'peanut']","['B-Brand', 'I-Brand', 'E-Brand', 'S-ProductType']",the whole truth peanut,False
solar system toy,Solara,[],toy,"['solar', 'system', 'toy', 'Solara']","['O', 'O', 'S-ProductType', 'S-Brand']",solar system toy Solara,True
gold winner 5l,Gold Winner,['5l'],,"['gold', 'winner', '5l']","['B-Brand', 'E-Brand', 'S-Attribute']",gold winner 5l,False
dudh ki thaili,Shudh Urja,[],dudh,"['dudh', 'ki', 'thaili', 'Shudh', 'Urja']","['S-ProductType', 'O', 'O', 'B-Brand', 'E-Brand']",dudh ki thaili Shudh Urja,True
zorabian chicken sausages,Zorabian,[],chicken sausages,"['zorabian', 'chicken', 'sausages']","['S-Brand', 'B-ProductType', 'E-ProductType']",zorabian chicken sausages,False
boat rockerz 255,boat,[],rockerz 255,"['boat', 'rockerz', '255']","['S-Brand', 'B-ProductType', 'E-ProductType']",boat rockerz 255,False
fit me compact,Maybelline,['fit me'],compact,"['fit', 'me', 'compact', 'Maybelline']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'S-Brand']",fit me compact Maybelline,True
green tea bag,Honest Tea,"['green', 'tea', 'bag']",tea,"['green', 'tea', 'bag', 'Honest', 'Tea']","['S-Attribute', 'S-Attribute', 'S-Attribute', 'B-Brand', 'E-Brand']",green tea bag Honest Tea,True
detan face pack,Dettol,['detan'],face pack,"['detan', 'face', 'pack', 'Dettol']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'S-Brand']",detan face pack Dettol,True
dairy milk roasted,Dairy Milk,['roasted'],,"['dairy', 'milk', 'roasted']","['B-Brand', 'E-Brand', 'S-Attribute']",dairy milk roasted,False
ice cream kwality walls,Kwality Wall's,[],ice cream,"['ice', 'cream', 'kwality', 'walls', 'Kwality', ""Wall's""]","['B-ProductType', 'E-ProductType', 'O', 'O', 'B-Brand', 'E-Brand']",ice cream kwality walls Kwality Wall's,True
park avenue men perfume,Park Avenue,['men'],perfume,"['park', 'avenue', 'men', 'perfume']","['B-Brand', 'E-Brand', 'S-Attribute', 'S-ProductType']",park avenue men perfume,False
tulsi bhog rice,Masoori rice,"['tulsi', 'bhog']",rice,"['tulsi', 'bhog', 'rice', 'Masoori', 'rice']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",tulsi bhog rice Masoori rice,True
eastern sambar powder,Eastern,[],sambar powder,"['eastern', 'sambar', 'powder']","['S-Brand', 'B-ProductType', 'E-ProductType']",eastern sambar powder,False
kinder joy hari potter,Hari Leaf,[],,"['kinder', 'joy', 'hari', 'potter', 'Hari', 'Leaf']","['O', 'O', 'O', 'O', 'B-Brand', 'E-Brand']",kinder joy hari potter Hari Leaf,True
hide & seek milano,Hide & Seek,[],,"['hide', '&', 'seek', 'milano']","['B-Brand', 'I-Brand', 'E-Brand', 'O']",hide & seek milano,False
gokul sandal powder,Gokul,[],sandal powder,"['gokul', 'sandal', 'powder']","['S-Brand', 'B-ProductType', 'E-ProductType']",gokul sandal powder,False
cream cracker biscuit,Bonn- Biscuits & Cakes,"['cream', 'cracker']",biscuit,"['cream', 'cracker', 'biscuit', 'Bonn-', 'Biscuits', '&', 'Cakes']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'B-Brand', 'I-Brand', 'I-Brand', 'E-Brand']",cream cracker biscuit Bonn- Biscuits & Cakes,True
portronics ear otoscope,,[],otoscope,"['portronics', 'ear', 'otoscope']","['O', 'O', 'S-ProductType']",portronics ear otoscope,False
satyam jada poha,Satyam,[],poha,"['satyam', 'jada', 'poha']","['S-Brand', 'O', 'S-ProductType']",satyam jada poha,False
blanket for winter,,['for winter'],blanket,"['blanket', 'for', 'winter']","['S-ProductType', 'B-Attribute', 'E-Attribute']",blanket for winter,False
omnigel pain relief,Omnigel,['pain relief'],,"['omnigel', 'pain', 'relief']","['S-Brand', 'B-Attribute', 'E-Attribute']",omnigel pain relief,False
dark chocolate 90,Darkins Chocolates,"['dark', '90']",chocolate,"['dark', 'chocolate', '90', 'Darkins', 'Chocolates']","['S-Attribute', 'S-ProductType', 'S-Attribute', 'B-Brand', 'E-Brand']",dark chocolate 90 Darkins Chocolates,True
real apple juice,Dabur Real,[],apple juice,"['real', 'apple', 'juice', 'Dabur', 'Real']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",real apple juice Dabur Real,True
nongshim cup noodles,Nongshim,[],cup noodles,"['nongshim', 'cup', 'noodles']","['S-Brand', 'B-ProductType', 'E-ProductType']",nongshim cup noodles,False
sona masoori 1kg,Masoori rice,"['sona masoori', '1kg']",rice,"['sona', 'masoori', '1kg', 'Masoori', 'rice']","['B-Attribute', 'E-Attribute', 'S-Attribute', 'B-Brand', 'E-Brand']",sona masoori 1kg Masoori rice,True
sona masuri raw rice,Masoori rice,"['sona masuri', 'raw']",rice,"['sona', 'masuri', 'raw', 'rice', 'Masoori', 'rice']","['B-Attribute', 'E-Attribute', 'S-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",sona masuri raw rice Masoori rice,True
kerala banana chips,Arun Ice Creams,['kerala'],banana chips,"['kerala', 'banana', 'chips', 'Arun', 'Ice', 'Creams']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",kerala banana chips Arun Ice Creams,True
kolam rice 1kg,Cuppa Rice,['1kg'],rice,"['kolam', 'rice', '1kg', 'Cuppa', 'Rice']","['O', 'S-ProductType', 'S-Attribute', 'B-Brand', 'E-Brand']",kolam rice 1kg Cuppa Rice,True
dot n key face wash,Dot & Key,[],face wash,"['dot', 'n', 'key', 'face', 'wash', 'Dot', '&', 'Key']","['O', 'O', 'O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",dot n key face wash Dot & Key,True
nan pro stage 2,Nestle,"['pro', 'stage 2']",,"['nan', 'pro', 'stage', '2', 'Nestle']","['O', 'S-Attribute', 'B-Attribute', 'E-Attribute', 'S-Brand']",nan pro stage 2 Nestle,True
corn flakes mixture,,['corn flakes'],mixture,"['corn', 'flakes', 'mixture']","['B-Attribute', 'E-Attribute', 'S-ProductType']",corn flakes mixture,False
black bean noodles,Country Bean,['black'],noodles,"['black', 'bean', 'noodles', 'Country', 'Bean']","['S-Attribute', 'O', 'S-ProductType', 'B-Brand', 'E-Brand']",black bean noodles Country Bean,True
ultra pen drive,,['ultra'],pen drive,"['ultra', 'pen', 'drive']","['S-Attribute', 'B-ProductType', 'E-ProductType']",ultra pen drive,False
stellar mint blast,Stellar,"['mint', 'blast']",,"['stellar', 'mint', 'blast']","['S-Brand', 'S-Attribute', 'S-Attribute']",stellar mint blast,False
dry fruits powder,Shree Ganesh Dry Fruits,"['dry', 'fruits', 'powder']",,"['dry', 'fruits', 'powder', 'Shree', 'Ganesh', 'Dry', 'Fruits']","['S-Attribute', 'S-Attribute', 'S-Attribute', 'B-Brand', 'I-Brand', 'I-Brand', 'E-Brand']",dry fruits powder Shree Ganesh Dry Fruits,True
gift pen set,,[],pen set,"['gift', 'pen', 'set']","['O', 'B-ProductType', 'E-ProductType']",gift pen set,False
carrot red halwa,Red Cow,"['carrot', 'red']",halwa,"['carrot', 'red', 'halwa', 'Red', 'Cow']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",carrot red halwa Red Cow,True
dev snacks chips,Dev Snacks,[],chips,"['dev', 'snacks', 'chips']","['B-Brand', 'E-Brand', 'S-ProductType']",dev snacks chips,False
bracelet making kit,,[],kit,"['bracelet', 'making', 'kit']","['O', 'O', 'S-ProductType']",bracelet making kit,False
turbo bright moisturiser,Moistane,"['turbo', 'bright']",moisturiser,"['turbo', 'bright', 'moisturiser', 'Moistane']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'S-Brand']",turbo bright moisturiser Moistane,True
tops sauce soya,Tops,['soya'],sauce,"['tops', 'sauce', 'soya']","['S-Brand', 'S-ProductType', 'S-Attribute']",tops sauce soya,False
waffy orange wafers,Parle Wafer,['orange'],wafers,"['waffy', 'orange', 'wafers', 'Parle', 'Wafer']","['O', 'S-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",waffy orange wafers Parle Wafer,True
sarso ka oil,Vijaya oil,['sarso'],oil,"['sarso', 'ka', 'oil', 'Vijaya', 'oil']","['S-Attribute', 'O', 'S-ProductType', 'B-Brand', 'E-Brand']",sarso ka oil Vijaya oil,True
gulab mustard oil,Gulab,[],mustard oil,"['gulab', 'mustard', 'oil']","['S-Brand', 'B-ProductType', 'E-ProductType']",gulab mustard oil,False
yellow chilli powder,Chillfill,['yellow'],chilli powder,"['yellow', 'chilli', 'powder', 'Chillfill']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'S-Brand']",yellow chilli powder Chillfill,True
heating gel pad,,[],gel pad,"['heating', 'gel', 'pad']","['O', 'B-ProductType', 'E-ProductType']",heating gel pad,False
tan shoe polish,Polish Me Pretty,['tan'],shoe polish,"['tan', 'shoe', 'polish', 'Polish', 'Me', 'Pretty']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",tan shoe polish Polish Me Pretty,True
ultra alkaline batteries,Panasonic Batteries,['ultra'],batteries,"['ultra', 'alkaline', 'batteries', 'Panasonic', 'Batteries']","['S-Attribute', 'O', 'S-ProductType', 'B-Brand', 'E-Brand']",ultra alkaline batteries Panasonic Batteries,True
om sweets milk cake,OM Sweets,[],milk cake,"['om', 'sweets', 'milk', 'cake']","['B-Brand', 'E-Brand', 'B-ProductType', 'E-ProductType']",om sweets milk cake,False
2x spicy noodles,,['2x spicy'],noodles,"['2x', 'spicy', 'noodles']","['B-Attribute', 'E-Attribute', 'S-ProductType']",2x spicy noodles,False
welcome baby decoration,,"['baby', 'decoration']",,"['welcome', 'baby', 'decoration']","['O', 'S-Attribute', 'S-Attribute']",welcome baby decoration,False
vigwa facial soap,Vimal Oil,['vigwa'],facial soap,"['vigwa', 'facial', 'soap', 'Vimal', 'Oil']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",vigwa facial soap Vimal Oil,True
roasted almond dairy milk,Dairy Milk,"['roasted', 'almond']",milk,"['roasted', 'almond', 'dairy', 'milk']","['S-Attribute', 'S-Attribute', 'B-Brand', 'E-Brand']",roasted almond dairy milk,False
jockey bath towel,Jockey,[],bath towel,"['jockey', 'bath', 'towel']","['S-Brand', 'B-ProductType', 'E-ProductType']",jockey bath towel,False
dermatouch pigmentation cream,Dermatouch,['pigmentation'],cream,"['dermatouch', 'pigmentation', 'cream']","['S-Brand', 'S-Attribute', 'S-ProductType']",dermatouch pigmentation cream,False
kuber kitchen organizer,Kuber Industries,[],kitchen organizer,"['kuber', 'kitchen', 'organizer', 'Kuber', 'Industries']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",kuber kitchen organizer Kuber Industries,True
dlecta cheese spread,Dlecta,[],cheese spread,"['dlecta', 'cheese', 'spread']","['S-Brand', 'B-ProductType', 'E-ProductType']",dlecta cheese spread,False
keya chilli flakes,Keya,[],chilli flakes,"['keya', 'chilli', 'flakes']","['S-Brand', 'B-ProductType', 'E-ProductType']",keya chilli flakes,False
savlon hand sanitizer,Savlon,[],hand sanitizer,"['savlon', 'hand', 'sanitizer']","['S-Brand', 'B-ProductType', 'E-ProductType']",savlon hand sanitizer,False
mamaearth castor oil,Mamaearth,['castor'],oil,"['mamaearth', 'castor', 'oil']","['S-Brand', 'S-Attribute', 'S-ProductType']",mamaearth castor oil,False
tops white vineger,Tops,['white'],vinegar,"['tops', 'white', 'vineger']","['S-Brand', 'S-Attribute', 'O']",tops white vineger,False
yippee mood masala,Sparsh Masala,"['mood', 'masala']",yippee,"['yippee', 'mood', 'masala', 'Sparsh', 'Masala']","['S-ProductType', 'S-Attribute', 'S-Attribute', 'B-Brand', 'E-Brand']",yippee mood masala Sparsh Masala,True
chicken curry masala,Masoori rice,"['chicken', 'curry', 'masala']",,"['chicken', 'curry', 'masala', 'Masoori', 'rice']","['S-Attribute', 'S-Attribute', 'S-Attribute', 'B-Brand', 'E-Brand']",chicken curry masala Masoori rice,True
one plus earphone,Oneplus,[],earphone,"['one', 'plus', 'earphone', 'Oneplus']","['O', 'O', 'S-ProductType', 'S-Brand']",one plus earphone Oneplus,True
kesar pista ice cream,Ketasma,"['kesar', 'pista']",ice cream,"['kesar', 'pista', 'ice', 'cream', 'Ketasma']","['S-Attribute', 'S-Attribute', 'B-ProductType', 'E-ProductType', 'S-Brand']",kesar pista ice cream Ketasma,True
food packing box,Hot Delivery Bag,[],packing box,"['food', 'packing', 'box', 'Hot', 'Delivery', 'Bag']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",food packing box Hot Delivery Bag,True
eye shadow brush,Eye,[],brush,"['eye', 'shadow', 'brush']","['S-Brand', 'O', 'S-ProductType']",eye shadow brush,False
kinder joy 2025,Kinder Joy 2024,['2025'],kinder joy,"['kinder', 'joy', '2025', 'Kinder', 'Joy', '2024']","['B-ProductType', 'E-ProductType', 'S-Attribute', 'B-Brand', 'I-Brand', 'E-Brand']",kinder joy 2025 Kinder Joy 2024,True
skin care kit,Personal Touch Skincare,[],skin care kit,"['skin', 'care', 'kit', 'Personal', 'Touch', 'Skincare']","['B-ProductType', 'I-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",skin care kit Personal Touch Skincare,True
amul fruit yoghurt,Amul,['fruit'],yoghurt,"['amul', 'fruit', 'yoghurt']","['S-Brand', 'S-Attribute', 'S-ProductType']",amul fruit yoghurt,False
mysore sandal powder,Mysore Sandal,[],powder,"['mysore', 'sandal', 'powder']","['B-Brand', 'E-Brand', 'S-ProductType']",mysore sandal powder,False
sleepy owl instant coffee,Sleepy Owl,['instant'],coffee,"['sleepy', 'owl', 'instant', 'coffee']","['B-Brand', 'E-Brand', 'S-Attribute', 'S-ProductType']",sleepy owl instant coffee,False
surf powder wheel,Wheel,[],powder,"['surf', 'powder', 'wheel']","['O', 'S-ProductType', 'S-Brand']",surf powder wheel,False
aachi turmeric powder,Aachi,[],turmeric powder,"['aachi', 'turmeric', 'powder']","['S-Brand', 'B-ProductType', 'E-ProductType']",aachi turmeric powder,False
mortein mosquito repellent,Mortein,[],mosquito repellent,"['mortein', 'mosquito', 'repellent']","['S-Brand', 'B-ProductType', 'E-ProductType']",mortein mosquito repellent,False
ponds bright beauty cream,Pond's,"['bright', 'beauty']",cream,"['ponds', 'bright', 'beauty', 'cream', ""Pond's""]","['O', 'S-Attribute', 'S-Attribute', 'S-ProductType', 'S-Brand']",ponds bright beauty cream Pond's,True
myglamm makeup kit,MyGlamm,[],makeup kit,"['myglamm', 'makeup', 'kit']","['S-Brand', 'B-ProductType', 'E-ProductType']",myglamm makeup kit,False
real activ 100%,Dabur Real,['100%'],,"['real', 'activ', '100%', 'Dabur', 'Real']","['O', 'O', 'S-Attribute', 'B-Brand', 'E-Brand']",real activ 100% Dabur Real,True
kpl coconut oil,Bio Oil,[],coconut oil,"['kpl', 'coconut', 'oil', 'Bio', 'Oil']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",kpl coconut oil Bio Oil,True
surya popu dinusulu,Surya,[],,"['surya', 'popu', 'dinusulu']","['S-Brand', 'O', 'O']",surya popu dinusulu,False
ice cream 1 kg,,['1 kg'],ice cream,"['ice', 'cream', '1', 'kg']","['B-ProductType', 'E-ProductType', 'B-Attribute', 'E-Attribute']",ice cream 1 kg,False
minimalist hair growth,Minimalist,['hair growth'],,"['minimalist', 'hair', 'growth']","['S-Brand', 'B-Attribute', 'E-Attribute']",minimalist hair growth,False
no. 1 soap,Godrej No. 1,[],soap,"['no', '.', '1', 'soap', 'Godrej', 'No', '.', '1']","['O', 'O', 'O', 'S-ProductType', 'B-Brand', 'I-Brand', 'I-Brand', 'E-Brand']",no. 1 soap Godrej No. 1,True
godrej air pocket,Godrej Aer,"['air', 'pocket']",,"['godrej', 'air', 'pocket', 'Godrej', 'Aer']","['O', 'S-Attribute', 'S-Attribute', 'B-Brand', 'E-Brand']",godrej air pocket Godrej Aer,True
baby boy dress,,"['baby', 'boy']",dress,"['baby', 'boy', 'dress']","['S-Attribute', 'S-Attribute', 'S-ProductType']",baby boy dress,False
renee lipstick set,Renee,[],lipstick set,"['renee', 'lipstick', 'set']","['S-Brand', 'B-ProductType', 'E-ProductType']",renee lipstick set,False
24 mantra chikki,24 Mantra,[],chikki,"['24', 'mantra', 'chikki']","['B-Brand', 'E-Brand', 'S-ProductType']",24 mantra chikki,False
olay face wash,Olay,[],face wash,"['olay', 'face', 'wash']","['S-Brand', 'B-ProductType', 'E-ProductType']",olay face wash,False
pet water bottle,,[],water bottle,"['pet', 'water', 'bottle']","['O', 'B-ProductType', 'E-ProductType']",pet water bottle,False
kadhai paneer masala,Sakthi Masala,"['kadhai', 'paneer', 'masala']",,"['kadhai', 'paneer', 'masala', 'Sakthi', 'Masala']","['S-Attribute', 'S-Attribute', 'S-Attribute', 'B-Brand', 'E-Brand']",kadhai paneer masala Sakthi Masala,True
milky mist cheese cubes,Milky Mist,[],cheese cubes,"['milky', 'mist', 'cheese', 'cubes']","['B-Brand', 'E-Brand', 'B-ProductType', 'E-ProductType']",milky mist cheese cubes,False
india gate super basmati rice,India Gate,['super basmati'],rice,"['india', 'gate', 'super', 'basmati', 'rice']","['B-Brand', 'E-Brand', 'B-Attribute', 'E-Attribute', 'S-ProductType']",india gate super basmati rice,False
family pack chocolate,The Belgian Chocolate,"['family pack', 'chocolate']",,"['family', 'pack', 'chocolate', 'The', 'Belgian', 'Chocolate']","['B-Attribute', 'E-Attribute', 'S-Attribute', 'B-Brand', 'I-Brand', 'E-Brand']",family pack chocolate The Belgian Chocolate,True
derma co body wash,The Derma Co,[],body wash,"['derma', 'co', 'body', 'wash', 'The', 'Derma', 'Co']","['O', 'O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",derma co body wash The Derma Co,True
amul butter chiplets,Amul,"['butter', 'chiplets']",,"['amul', 'butter', 'chiplets']","['S-Brand', 'S-Attribute', 'S-Attribute']",amul butter chiplets,False
scoops ice cream,Scoops,[],ice cream,"['scoops', 'ice', 'cream']","['S-Brand', 'B-ProductType', 'E-ProductType']",scoops ice cream,False
pluckk garlic peeled,Pluckk,['peeled'],garlic,"['pluckk', 'garlic', 'peeled']","['S-Brand', 'S-ProductType', 'S-Attribute']",pluckk garlic peeled,False
glycolic acid serum,Glycoseptol,['glycolic acid'],serum,"['glycolic', 'acid', 'serum', 'Glycoseptol']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'S-Brand']",glycolic acid serum Glycoseptol,True
eveready mosquito racket,Eveready,[],mosquito racket,"['eveready', 'mosquito', 'racket']","['S-Brand', 'B-ProductType', 'E-ProductType']",eveready mosquito racket,False
2 pin plug,Pin,['2 pin'],plug,"['2', 'pin', 'plug']","['O', 'S-Brand', 'S-ProductType']",2 pin plug,False
mix dry food,Vinod Dry Food,['mix'],dry food,"['mix', 'dry', 'food', 'Vinod', 'Dry', 'Food']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",mix dry food Vinod Dry Food,True
swastik mirchi powder,,['mirchi powder'],,"['swastik', 'mirchi', 'powder']","['O', 'B-Attribute', 'E-Attribute']",swastik mirchi powder,False
10 l water,10X,['10 l'],water,"['10', 'l', 'water', '10X']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'S-Brand']",10 l water 10X,True
body lotion boro plus,BoroPlus,[],body lotion,"['body', 'lotion', 'boro', 'plus', 'BoroPlus']","['B-ProductType', 'E-ProductType', 'O', 'O', 'S-Brand']",body lotion boro plus BoroPlus,True
toy for kids,Star toys,['for kids'],toy,"['toy', 'for', 'kids', 'Star', 'toys']","['S-ProductType', 'B-Attribute', 'E-Attribute', 'B-Brand', 'E-Brand']",toy for kids Star toys,True
bagrry's rolled oats,Bagrry's,[],rolled oats,"[""bagrry's"", 'rolled', 'oats']","['S-Brand', 'B-ProductType', 'E-ProductType']",bagrry's rolled oats,False
anveshan sunflower oil,Anveshan,[],sunflower oil,"['anveshan', 'sunflower', 'oil']","['S-Brand', 'B-ProductType', 'E-ProductType']",anveshan sunflower oil,False
new year props,,[],props,"['new', 'year', 'props']","['O', 'O', 'S-ProductType']",new year props,False
freedom refined sunflower oil,Freedom,"['refined', 'sunflower']",oil,"['freedom', 'refined', 'sunflower', 'oil']","['S-Brand', 'S-Attribute', 'S-Attribute', 'S-ProductType']",freedom refined sunflower oil,False
campure mosquito repellent,Campure,[],mosquito repellent,"['campure', 'mosquito', 'repellent']","['S-Brand', 'B-ProductType', 'E-ProductType']",campure mosquito repellent,False
real juice 1 litre,Dabur Real,['1 litre'],juice,"['real', 'juice', '1', 'litre', 'Dabur', 'Real']","['O', 'S-ProductType', 'B-Attribute', 'E-Attribute', 'B-Brand', 'E-Brand']",real juice 1 litre Dabur Real,True
under 10 rs,,['under 10 rs'],,"['under', '10', 'rs']","['B-Attribute', 'I-Attribute', 'E-Attribute']",under 10 rs,False
borosil coffee mug,Borosil,[],coffee mug,"['borosil', 'coffee', 'mug']","['S-Brand', 'B-ProductType', 'E-ProductType']",borosil coffee mug,False
karachi fruit biscuit,Karachi Bakery,[],biscuit,"['karachi', 'fruit', 'biscuit', 'Karachi', 'Bakery']","['O', 'O', 'S-ProductType', 'B-Brand', 'E-Brand']",karachi fruit biscuit Karachi Bakery,True
charcoal peel of mask,Suraksha Mask,['charcoal'],peel off mask,"['charcoal', 'peel', 'of', 'mask', 'Suraksha', 'Mask']","['S-Attribute', 'O', 'O', 'O', 'B-Brand', 'E-Brand']",charcoal peel of mask Suraksha Mask,True
